Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,29,1,29,0,0
0-1,28,2,28,0,0
0-2,26,4,26,0,0
0-3,29,1,29,0,0
0-4,26,4,26,0,0
0-5,25,5,24,1,0
0-6,27,3,27,0,0
0-7,22,8,21,0,1
0-8,23,7,23,0,0
0-9,23,7,23,0,0
1-0,26,4,25,1,0
Total,284,46,281,2,1
