Temperature,Average
0-0,75.0
0-1,74.99964285714285
0-2,75.10809523809523
0-3,73.86333333333333
0-4,74.58545454545454
0-5,73.60076923076923
0-6,72.44250000000001
0-7,76.04846153846155
0-8,76.22384615384615
0-9,79.54583333333333
1-0,80.0
