Temperature,Average
0-0,100.0
0-1,100.0
0-2,100.0
0-3,100.0
0-4,100.0
0-5,100.0
0-6,100.0
0-7,100.0
0-8,99.44433333333333
0-9,100.0
1-0,99.44433333333333
