project;test file;mutants;killed;incompetent;timeout;survived;mutation score
perm-word;test_3-5_0-9_279;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_257;16;13;2;0;1;93.75
perm-word;test_3-5_0-2_78;16;12;2;1;1;93.75
perm-word;test_3-5_0-6_200;16;12;2;0;2;87.50
perm-word;test_3-5_0-5_177;16;12;2;1;1;93.75
perm-word;test_3-5_0-6_210;16;12;2;1;1;93.75
perm-word;test_3-5_0-8_248;16;13;2;0;1;93.75
perm-word;test_3-5_1-0_301;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_268;16;12;3;0;1;93.75
perm-word;test_3-5_0-8_259;16;12;2;1;1;93.75
perm-word;test_3-5_0-4_130;16;12;2;1;1;93.75
perm-word;test_3-5_1-0_314;16;12;2;1;1;93.75
perm-word;test_3-5_0-7_233;16;13;2;0;1;93.75
perm-word;test_3-5_1-0_308;16;13;2;0;1;93.75
perm-word;test_3-5_0-6_196;16;12;2;1;1;93.75
perm-word;test_3-5_0-5_172;16;12;2;1;1;93.75
perm-word;test_3-5_0-3_98;16;13;2;0;1;93.75
perm-word;test_3-5_0-5_179;16;12;2;1;1;93.75
perm-word;test_3-5_0-7_227;16;12;2;1;1;93.75
perm-word;test_3-5_0-4_139;16;12;2;1;1;93.75
perm-word;test_3-5_0-6_207;16;12;2;0;2;87.50
perm-word;test_3-5_0-8_264;16;12;2;1;1;93.75
perm-word;test_3-5_0-2_87;16;12;2;1;1;93.75
perm-word;test_3-5_0-7_212;16;12;2;0;2;87.50
perm-word;test_3-5_0-3_120;16;13;2;0;1;93.75
perm-word;test_3-5_0-5_168;16;12;2;1;1;93.75
perm-word;test_3-5_0-8_269;16;13;2;0;1;93.75
perm-word;test_3-5_0-5_160;16;12;2;1;1;93.75
perm-word;test_3-5_0-3_96;16;12;2;1;1;93.75
perm-word;test_3-5_1-0_309;16;12;2;1;1;93.75
perm-word;test_3-5_0-8_266;16;13;2;0;1;93.75
perm-word;test_3-5_0-6_184;16;13;2;0;1;93.75
perm-word;test_3-5_0-2_82;16;12;2;1;1;93.75
perm-word;test_3-5_0-6_204;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_258;16;13;2;0;1;93.75
perm-word;test_3-5_0-4_131;16;12;2;1;1;93.75
perm-word;test_3-5_1-0_323;16;13;2;0;1;93.75
perm-word;test_3-5_0-3_109;16;12;2;1;1;93.75
perm-word;test_3-5_0-4_126;16;13;2;0;1;93.75
perm-word;test_3-5_0-7_231;16;12;2;0;2;87.50
perm-word;test_3-5_0-3_113;16;12;2;0;2;87.50
perm-word;test_3-5_0-7_239;16;12;2;0;2;87.50
perm-word;test_3-5_0-9_281;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_263;16;13;2;0;1;93.75
perm-word;test_3-5_0-1_37;16;12;2;1;1;93.75
perm-word;test_3-5_0-4_135;16;12;2;1;1;93.75
perm-word;test_3-5_0-9_298;16;12;2;0;2;87.50
perm-word;test_3-5_0-2_76;16;13;2;0;1;93.75
perm-word;test_3-5_1-0_304;16;12;2;0;2;87.50
perm-word;test_3-5_0-7_228;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_256;16;12;2;1;1;93.75
perm-word;test_3-5_0-5_159;16;13;2;0;1;93.75
perm-word;test_3-5_1-0_313;16;13;2;0;1;93.75
perm-word;test_3-5_0-4_124;16;13;2;0;1;93.75
perm-word;test_3-5_0-9_274;16;13;2;0;1;93.75
perm-word;test_3-5_0-6_192;16;12;2;0;2;87.50
perm-word;test_3-5_0-5_158;16;13;2;0;1;93.75
perm-word;test_3-5_0-7_214;16;13;2;0;1;93.75
perm-word;test_3-5_0-4_141;16;12;2;1;1;93.75
perm-word;test_3-5_0-2_88;16;13;2;0;1;93.75
perm-word;test_3-5_0-4_129;16;12;2;1;1;93.75
perm-word;test_3-5_0-9_286;16;13;2;0;1;93.75
perm-word;test_3-5_0-5_162;16;13;2;0;1;93.75
perm-word;test_3-5_0-5_156;16;12;2;1;1;93.75
perm-word;test_3-5_0-6_206;16;12;2;1;1;93.75
perm-word;test_3-5_0-2_84;16;12;2;1;1;93.75
perm-word;test_3-5_0-7_234;16;12;2;0;2;87.50
perm-word;test_3-5_0-8_246;16;12;2;0;2;87.50
perm-word;test_3-5_0-0_2;16;12;2;1;1;93.75
perm-word;test_3-5_1-0_306;16;13;2;0;1;93.75
perm-word;test_3-5_0-8_247;16;12;2;0;2;87.50
