Temperature,Average
0-0,87.5
0-1,87.5
0-2,87.5
0-3,87.5
0-4,87.5
0-5,87.73148148148148
0-6,88.04347826086956
0-7,87.86764705882354
0-8,88.63636363636364
0-9,89.33823529411765
1-0,90.78947368421052
