project;test file;mutants;killed;incompetent;timeout;survived;mutation score
find-duplicates;test_3-5_0-5_178;44;37;0;0;7;84.09
find-duplicates;test_3-5_0-2_83;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_115;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-7_224;44;38;0;0;6;86.36
find-duplicates;test_3-5_1-0_326;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-0_10;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-4_137;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-1_56;44;38;0;0;6;86.36
find-duplicates;test_3-5_1-0_310;44;41;0;0;3;93.18
find-duplicates;test_3-5_0-7_226;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-2_78;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-8_251;44;39;0;0;5;88.64
find-duplicates;test_3-5_0-4_123;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-9_283;44;40;0;0;4;90.91
find-duplicates;test_3-5_0-0_4;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-6_200;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-1_50;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-6_183;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-5_177;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-6_210;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-5_180;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_116;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-2_70;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-4_133;44;38;0;0;6;86.36
find-duplicates;test_3-5_1-0_322;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-9_284;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-4_150;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-9_273;44;40;0;0;4;90.91
find-duplicates;test_3-5_0-3_95;44;38;0;0;6;86.36
find-duplicates;test_3-5_1-0_301;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_104;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_114;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-7_236;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_118;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-1_48;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-0_5;44;38;0;0;6;86.36
find-duplicates;test_3-5_0-3_91;44;38;0;0;6;86.36
