Temperature,Average
0-0,0
0-1,90.4
0-2,92.0
0-3,87.0
0-4,81.79999999999998
0-5,88.6
0-6,87.84
0-7,74.6
0-8,82.97142857142856
0-9,76.8
1-0,80.26666666666667
