Temperature,Average
0-0,64.28571428571429
0-1,67.1875
0-2,72.1590909090909
0-3,74.30555555555556
0-4,75.0
0-5,81.25
0-6,77.5
0-7,81.25
0-8,82.95454545454545
0-9,79.86111111111111
1-0,84.21052631578948
