Project,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
bfs,53.79,54.78,55.06,56.13,53.72,54.53,56.50,56.72,53.26,49.08,53.85
binheap,0.00,0.00,0.00,0.00,94.15,95.32,92.10,88.30,89.47,91.42,0.00
bst1,0.00,0.00,0.00,0.00,0.00,87.25,91.18,83.82,86.27,79.41,85.29
bst2,69.56,69.19,69.23,69.12,69.23,69.65,68.57,68.95,70.42,68.33,63.72
combinations,98.75,98.42,98.28,98.35,98.45,98.37,98.37,98.38,98.39,98.16,98.41
complement,96.30,96.30,96.67,96.30,97.23,100.00,100.00,98.61,100.00,100.00,99.08
convert-base,0.00,90.40,92.00,87.00,81.80,88.60,87.84,74.60,82.97,76.80,80.27
deque,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.00,100.00,100.00
dfs,62.03,62.54,62.50,60.20,59.45,60.95,60.42,61.19,62.52,60.92,61.93
dijkstras,0.00,0.00,0.00,0.00,0.00,82.86,80.00,82.86,78.58,85.71,79.05
dll,54.95,55.34,53.15,57.27,52.93,56.37,53.25,54.77,51.17,54.23,53.15
factorial,94.63,94.44,95.74,97.32,97.03,97.41,97.41,98.15,96.62,96.62,98.56
fenwick,0.00,99.30,84.51,99.30,99.30,98.59,97.89,98.59,0.00,0.00,97.19
fibonacci,99.81,99.20,99.36,99.32,99.17,98.90,98.67,98.50,98.59,98.42,98.62
find-duplicates,69.35,69.35,69.35,69.35,69.46,69.59,70.61,70.68,71.26,72.20,71.81
first-missing-positive,87.97,87.95,88.85,90.48,85.52,91.67,84.52,87.23,89.93,89.15,86.76
fizz-buzz,97.10,97.10,97.10,97.10,97.10,97.10,97.10,97.00,96.91,97.10,97.10
graph1,65.21,59.37,56.53,56.12,55.10,66.97,57.14,60.84,52.88,63.94,66.84
graph2,0.00,0.00,33.33,33.33,33.33,33.33,33.33,33.33,53.33,41.66,33.33
hamming,84.62,85.47,84.62,86.67,89.10,94.87,88.10,92.31,94.02,93.85,89.11
hashmap,91.07,91.33,90.34,91.33,86.90,90.80,83.10,73.46,67.94,78.46,82.62
heap,62.62,62.62,66.36,74.77,68.85,57.01,80.69,0.00,82.24,70.72,71.58
heapsort,0.00,0.00,0.00,0.00,85.71,85.71,85.71,85.71,85.71,85.86,85.89
linked-list1,75.00,75.00,75.11,73.86,74.59,73.60,72.44,76.05,76.22,79.55,80.00
linked-list2,85.41,85.12,85.65,85.41,84.89,85.12,83.87,87.41,85.74,86.11,83.91
long-comm,84.60,85.45,85.00,85.56,86.09,84.89,83.33,82.45,83.00,82.26,81.26
lru-cache,70.88,73.08,75.00,74.79,75.91,80.49,77.95,77.16,79.72,77.78,79.15
mergesort,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00
naive-tree,0.00,0.00,0.00,0.00,0.00,0.00,24.14,0.00,24.14,24.14,24.14
perm-word,100.00,100.00,100.00,100.00,100.00,100.00,100.00,87.50,100.00,100.00,100.00
priority-queue1,0.00,0.00,0.00,47.50,47.50,46.67,47.50,47.50,46.25,47.50,47.50
priority-queue2,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.21,84.31,84.62,85.52
queue,100.00,100.00,100.00,100.00,96.15,100.00,96.30,92.59,83.33,88.46,92.00
quicksort,88.33,88.27,88.16,87.99,87.95,88.11,87.95,87.78,87.58,87.67,87.67
rabin-karp,84.96,86.47,86.53,85.90,87.31,87.00,86.42,87.22,86.36,86.28,85.98
radixsort,0.00,0.00,0.00,0.00,0.00,0.00,92.06,0.00,0.00,92.06,0.00
stack,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
trie,0.00,0.00,0.00,0.00,0.00,93.10,93.10,91.38,89.66,92.24,93.10
word-squares,0.00,0.00,0.00,0.00,0.00,0.00,87.50,0.00,0.00,87.50,0.00
