project;filename;mutants;killed;incompetent;timeout;survived;mutation score
bfs;breadth_first_search.py;89;59;0;1;29;67.42
binheap;binheap.py;120;84;26;4;6;95.00
bst1;binary_search_tree.py;71;54;9;2;6;91.55
bst2;bst2.py;313;229;60;4;20;93.61
combinations;combinations.py;103;45;2;0;56;45.63
complement;complement.py;16;13;0;2;1;93.75
convert-base;convert_base.py;55;47;3;0;5;90.91
deque;deque.py;38;27;9;0;2;94.74
dfs;depth_first_search.py;70;57;0;1;12;82.86
dijkstras;dijkstras.py;47;39;0;3;5;89.36
dll;dll.py;175;123;33;3;16;90.86
edit-distance;edit_distance.py;184;136;14;4;30;83.70
factorial;factorial.py;13;8;5;0;0;100.00
fenwick;fenwick_tree.py;73;52;14;4;3;95.89
fibonacci;fibonacci.py;30;29;0;0;1;96.67
find-duplicates;find_duplicates.py;51;44;0;0;7;86.27
first-missing-positive;first_missing_positive.py;32;26;0;3;3;90.62
fizz-buzz;fizz_buzz.py;20;19;1;0;0;100.00
graph1;graph1.py;170;131;27;0;12;92.94
graph2;graph2.py;57;41;14;0;2;96.49
hamming;hamming_ops.py;14;11;0;3;0;100.00
hashmap;hash_map.py;87;72;9;0;6;93.10
heap;heap.py;180;125;35;9;11;93.89
heapsort;heapsort.py;50;40;0;0;10;80.00
linked-list1;linked_list1.py;80;59;7;10;4;95.00
linked-list2;linked_list2.py;110;81;24;3;2;98.18
long-comm;longest_common_prefix.py;32;28;1;0;3;90.62
lru-cache;lru_cache.py;97;68;14;0;15;84.54
mergesort;mergesort.py;41;31;4;4;2;95.12
naive-tree;naive_tree.py;68;56;10;0;2;97.06
perm-word;permutations.py;19;15;2;1;1;94.74
priority-queue1;priority_queue1.py;63;42;7;0;14;77.78
priority-queue2;priority_queue2.py;31;19;6;0;6;80.65
queue;a_queue.py;23;15;6;0;2;91.30
quicksort;quicksort.py;28;13;1;0;14;50.00
rabin-karp;rabin_karp_substring_search.py;63;57;1;0;5;92.06
radixsort;radixsort.py;35;28;4;0;3;91.43
stack;stack.py;12;8;4;0;0;100.00
trie;trie.py;60;21;3;0;36;40.00
word-squares;word_squares.py;25;21;2;0;2;92.00
