Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,9,21,0,2,7
0-1,6,24,0,0,6
0-2,7,23,0,1,6
0-3,6,24,0,1,5
0-4,9,21,1,5,3
0-5,13,17,0,9,4
0-6,17,13,3,3,11
0-7,11,19,4,3,4
0-8,17,13,6,6,5
0-9,19,11,5,2,12
1-0,15,15,3,6,6
Total,129,201,22,38,69
