Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,28,2,28,0,0
0-1,24,6,24,0,0
0-2,22,8,21,1,0
0-3,18,12,16,1,1
0-4,19,11,17,2,0
0-5,14,16,13,1,0
0-6,15,15,15,0,0
0-7,16,14,13,3,0
0-8,11,19,10,0,1
0-9,18,12,16,1,1
1-0,19,11,16,0,3
Total,204,126,189,9,6
