project;test file;mutants;killed;incompetent;timeout;survived;mutation score
heap;test_3-5_0-5_178;152;63;32;9;48;68.42
heap;test_3-5_0-7_213;152;74;30;10;38;75.00
heap;test_3-5_1-0_326;152;87;33;10;22;85.53
heap;test_3-5_1-0_310;152;79;31;8;34;77.63
heap;test_3-5_0-7_226;152;88;31;9;24;84.21
heap;test_3-5_0-0_4;152;76;30;9;37;75.66
heap;test_3-5_0-6_200;152;83;32;10;27;82.24
heap;test_3-5_0-1_50;152;76;30;9;37;75.66
heap;test_3-5_0-6_183;152;90;29;8;25;83.55
heap;test_3-5_0-5_177;152;88;31;9;24;84.21
heap;test_3-5_0-4_133;152;86;33;10;23;84.87
heap;test_3-5_1-0_328;152;79;33;11;29;80.92
heap;test_3-5_0-9_300;152;85;31;9;27;82.24
heap;test_3-5_0-3_118;152;74;30;9;39;74.34
heap;test_3-5_0-0_5;152;76;30;9;37;75.66
heap;test_3-5_0-8_250;152;82;30;10;30;80.26
heap;test_3-5_0-9_293;152;93;31;9;19;87.50
heap;test_3-5_0-4_143;152;85;31;9;27;82.24
heap;test_3-5_0-6_203;152;83;34;11;24;84.21
heap;test_3-5_0-6_181;152;85;33;9;25;83.55
heap;test_3-5_0-7_223;152;87;34;10;21;86.18
heap;test_3-5_0-2_67;152;86;31;9;26;82.89
heap;test_3-5_1-0_317;152;85;34;10;23;84.87
heap;test_3-5_1-0_321;152;82;31;9;30;80.26
heap;test_3-5_0-1_36;152;76;30;9;37;75.66
heap;test_3-5_0-8_252;152;85;32;10;25;83.55
heap;test_3-5_0-0_23;152;76;30;9;37;75.66
heap;test_3-5_0-8_264;152;90;34;9;19;87.50
heap;test_3-5_0-0_22;152;76;30;9;37;75.66
heap;test_3-5_0-3_108;152;84;31;9;28;81.58
heap;test_3-5_1-0_305;152;78;28;8;38;75.00
heap;test_3-5_0-3_107;152;90;34;10;18;88.16
heap;test_3-5_0-2_81;152;76;30;9;37;75.66
heap;test_3-5_0-0_8;152;76;30;9;37;75.66
heap;test_3-5_0-1_54;152;86;32;11;23;84.87
heap;test_3-5_0-5_152;152;78;31;9;34;77.63
heap;test_3-5_0-3_94;152;76;30;9;37;75.66
heap;test_3-5_0-4_142;152;85;31;9;27;82.24
heap;test_3-5_0-6_186;152;85;33;10;24;84.21
heap;test_3-5_0-2_64;152;86;31;9;26;82.89
heap;test_3-5_0-8_266;152;85;30;10;27;82.24
heap;test_3-5_0-3_106;152;84;30;9;29;80.92
heap;test_3-5_0-2_82;152;86;31;9;26;82.89
heap;test_3-5_0-4_134;152;87;31;9;25;83.55
heap;test_3-5_0-5_163;152;86;24;6;36;76.32
heap;test_3-5_1-0_315;152;79;33;10;30;80.26
heap;test_3-5_0-5_169;152;84;34;9;25;83.55
heap;test_3-5_0-3_100;152;78;32;11;31;79.61
heap;test_3-5_0-8_258;152;89;29;10;24;84.21
heap;test_3-5_0-4_131;152;82;31;9;30;80.26
heap;test_3-5_1-0_323;152;91;32;12;17;88.82
heap;test_3-5_0-3_92;152;84;30;9;29;80.92
heap;test_3-5_0-1_33;152;76;30;9;37;75.66
heap;test_3-5_0-0_25;152;76;30;9;37;75.66
heap;test_3-5_0-0_1;152;76;30;9;37;75.66
heap;test_3-5_0-3_113;152;84;31;9;28;81.58
heap;test_3-5_1-0_311;152;81;31;10;30;80.26
heap;test_3-5_0-1_37;152;76;30;9;37;75.66
heap;test_3-5_0-5_164;152;87;31;9;25;83.55
heap;test_3-5_0-5_157;152;84;31;9;28;81.58
heap;test_3-5_0-4_145;152;86;32;12;22;85.53
heap;test_3-5_0-3_117;152;86;33;10;23;84.87
heap;test_3-5_0-4_140;152;86;31;9;26;82.89
heap;test_3-5_0-0_18;152;76;30;9;37;75.66
heap;test_3-5_0-0_26;152;76;30;9;37;75.66
heap;test_3-5_0-1_60;152;76;30;9;37;75.66
heap;test_3-5_0-2_75;152;76;30;9;37;75.66
heap;test_3-5_0-0_30;152;76;30;9;37;75.66
heap;test_3-5_0-6_208;152;84;31;8;29;80.92
heap;test_3-5_0-8_241;152;84;33;10;25;83.55
heap;test_3-5_0-5_155;152;85;31;9;27;82.24
heap;test_3-5_0-1_47;152;76;30;9;37;75.66
heap;test_3-5_0-2_63;152;86;31;9;26;82.89
heap;test_3-5_0-0_27;152;76;30;9;37;75.66
heap;test_3-5_0-1_59;152;86;31;9;26;82.89
heap;test_3-5_0-4_132;152;84;31;9;28;81.58
heap;test_3-5_0-4_129;152;85;33;10;24;84.21
heap;test_3-5_0-1_57;152;76;30;9;37;75.66
heap;test_3-5_0-6_190;152;84;31;9;28;81.58
heap;test_3-5_0-8_261;152;85;30;9;28;81.58
heap;test_3-5_0-4_144;152;82;33;10;27;82.24
heap;test_3-5_0-6_194;152;93;31;9;19;87.50
heap;test_3-5_0-6_206;152;71;32;9;40;73.68
heap;test_3-5_0-2_69;152;86;31;9;26;82.89
heap;test_3-5_0-1_35;152;76;30;9;37;75.66
