LABEL;#TS;TEMP;TOKENS
END_TS;1;0.0;1100
END_TS;2;0.0;1101
END_TS;3;0.0;1100
END_TS;4;0.0;1100
END_TS;5;0.0;1100
END_TS;6;0.0;1100
END_TS;7;0.0;1100
END_TS;8;0.0;1100
END_TS;9;0.0;1101
END_TS;10;0.0;1101
END_TS;11;0.0;1100
END_TS;12;0.0;1100
END_TS;13;0.0;1100
END_TS;14;0.0;1101
END_TS;15;0.0;1100
END_TS;16;0.0;1100
END_TS;17;0.0;1100
END_TS;18;0.0;1100
END_TS;19;0.0;1100
END_TS;20;0.0;1100
END_TS;21;0.0;1100
END_TS;22;0.0;1100
END_TS;23;0.0;1100
END_TS;24;0.0;1100
END_TS;25;0.0;1101
END_TS;26;0.0;1101
END_TS;27;0.0;1101
END_TS;28;0.0;1100
END_TS;29;0.0;1100
END_TS;30;0.0;1100
END_TS;31;0.1;1101
END_TS;32;0.1;1108
END_TS;33;0.1;1114
END_TS;34;0.1;1101
END_TS;35;0.1;5240
END_TS;36;0.1;1100
END_TS;37;0.1;1094
END_TS;38;0.1;1100
END_TS;39;0.1;1100
END_TS;40;0.1;1083
END_TS;41;0.1;1115
END_TS;42;0.1;1082
END_TS;43;0.1;1101
END_TS;44;0.1;1100
END_TS;45;0.1;1094
END_TS;46;0.1;1100
END_TS;47;0.1;1101
END_TS;48;0.1;4608
END_TS;49;0.1;1101
END_TS;50;0.1;1100
END_TS;51;0.1;1101
END_TS;52;0.1;1094
END_TS;53;0.1;1095
END_TS;54;0.1;1100
END_TS;55;0.1;1100
END_TS;56;0.1;1095
END_TS;57;0.1;1100
END_TS;58;0.1;1100
END_TS;59;0.1;1101
END_TS;60;0.1;1131
END_TS;61;0.2;4618
END_TS;62;0.2;1100
END_TS;63;0.2;1100
END_TS;64;0.2;5436
END_TS;65;0.2;1076
END_TS;66;0.2;5360
END_TS;67;0.2;5369
END_TS;68;0.2;1095
END_TS;69;0.2;1100
END_TS;70;0.2;1154
END_TS;71;0.2;5192
END_TS;72;0.2;5231
END_TS;73;0.2;1114
END_TS;74;0.2;1100
END_TS;75;0.2;5369
END_TS;76;0.2;1100
END_TS;77;0.2;1100
END_TS;78;0.2;1101
END_TS;79;0.2;1130
END_TS;80;0.2;1100
END_TS;81;0.2;1100
END_TS;82;0.2;1076
END_TS;83;0.2;5363
END_TS;84;0.2;1127
END_TS;85;0.2;1101
END_TS;86;0.2;1100
END_TS;87;0.2;1094
END_TS;88;0.2;4752
END_TS;89;0.2;1100
END_TS;90;0.2;1100
END_TS;91;0.3;1101
END_TS;92;0.3;5203
END_TS;93;0.3;1100
END_TS;94;0.3;1052
END_TS;95;0.3;1101
END_TS;96;0.3;5202
END_TS;97;0.3;1076
END_TS;98;0.3;5179
END_TS;99;0.3;1076
END_TS;100;0.3;1041
END_TS;101;0.3;5366
END_TS;102;0.3;5423
END_TS;103;0.3;1094
END_TS;104;0.3;5427
END_TS;105;0.3;5238
END_TS;106;0.3;1100
END_TS;107;0.3;1144
END_TS;108;0.3;1083
END_TS;109;0.3;5423
END_TS;110;0.3;1097
END_TS;111;0.3;5205
END_TS;112;0.3;1130
END_TS;113;0.3;1144
END_TS;114;0.3;1095
END_TS;115;0.3;5354
END_TS;116;0.3;1084
END_TS;117;0.3;1057
END_TS;118;0.3;4601
END_TS;119;0.3;1101
END_TS;120;0.3;5424
END_TS;121;0.4;1114
END_TS;122;0.4;1126
END_TS;123;0.4;5185
END_TS;124;0.4;5421
END_TS;125;0.4;1090
END_TS;126;0.4;1126
END_TS;127;0.4;5421
END_TS;128;0.4;6140
END_TS;129;0.4;1124
END_TS;130;0.4;5191
END_TS;131;0.4;5424
END_TS;132;0.4;4605
END_TS;133;0.4;1101
END_TS;134;0.4;5224
END_TS;135;0.4;1226
END_TS;136;0.4;1077
END_TS;137;0.4;1133
END_TS;138;0.4;5207
END_TS;139;0.4;5354
END_TS;140;0.4;1114
END_TS;141;0.4;6024
END_TS;142;0.4;5436
END_TS;143;0.4;5436
END_TS;144;0.4;5372
END_TS;145;0.4;5414
END_TS;146;0.4;4782
END_TS;147;0.4;5408
END_TS;148;0.4;5221
END_TS;149;0.4;1095
END_TS;150;0.4;5191
END_TS;151;0.5;5528
END_TS;152;0.5;1125
END_TS;153;0.5;5454
END_TS;154;0.5;1077
END_TS;155;0.5;5656
END_TS;156;0.5;1027
END_TS;157;0.5;3957
END_TS;158;0.5;5698
END_TS;159;0.5;4434
END_TS;160;0.5;4618
END_TS;161;0.5;5503
END_TS;162;0.5;1181
END_TS;163;0.5;5729
END_TS;164;0.5;1066
END_TS;165;0.5;5421
END_TS;166;0.5;1082
END_TS;167;0.5;1122
END_TS;168;0.5;6060
END_TS;169;0.5;5283
END_TS;170;0.5;5198
END_TS;171;0.5;1041
END_TS;172;0.5;1027
END_TS;173;0.5;1127
END_TS;174;0.5;5565
END_TS;175;0.5;994
END_TS;176;0.5;4187
END_TS;177;0.5;1186
END_TS;178;0.5;5409
END_TS;179;0.5;5175
END_TS;180;0.5;1063
END_TS;181;0.6;1154
END_TS;182;0.6;4652
END_TS;183;0.6;1052
END_TS;184;0.6;5421
END_TS;185;0.6;1041
END_TS;186;0.6;5374
END_TS;187;0.6;6136
END_TS;188;0.6;5499
END_TS;189;0.6;1052
END_TS;190;0.6;4953
END_TS;191;0.6;5430
END_TS;192;0.6;4062
END_TS;193;0.6;1096
END_TS;194;0.6;1167
END_TS;195;0.6;1076
END_TS;196;0.6;1058
END_TS;197;0.6;5435
END_TS;198;0.6;6066
END_TS;199;0.6;1058
END_TS;200;0.6;1067
END_TS;201;0.6;5366
END_TS;202;0.6;1058
END_TS;203;0.6;1107
END_TS;204;0.6;1103
END_TS;205;0.6;5112
END_TS;206;0.6;5959
END_TS;207;0.6;4284
END_TS;208;0.6;5649
END_TS;209;0.6;1140
END_TS;210;0.6;1072
END_TS;211;0.7;3791
END_TS;212;0.7;1067
END_TS;213;0.7;5500
END_TS;214;0.7;5206
END_TS;215;0.7;1061
END_TS;216;0.7;1157
END_TS;217;0.7;1269
END_TS;218;0.7;5204
END_TS;219;0.7;6079
END_TS;220;0.7;997
END_TS;221;0.7;1159
END_TS;222;0.7;1151
END_TS;223;0.7;6343
END_TS;224;0.7;5538
END_TS;225;0.7;1074
END_TS;226;0.7;1064
END_TS;227;0.7;3826
END_TS;228;0.7;4165
END_TS;229;0.7;5396
END_TS;230;0.7;1070
