Temperature,Average
0-0,91.07333333333332
0-1,91.33
0-2,90.34
0-3,91.33
0-4,86.89666666666666
0-5,90.79692307692306
0-6,83.10117647058824
0-7,73.46181818181817
0-8,67.93529411764705
0-9,78.46105263157897
1-0,82.62066666666666
