Temperature,Average
0-0,89.18222222222224
0-1,89.47500000000001
0-2,88.3457142857143
0-3,89.47500000000001
0-4,87.57555555555557
0-5,89.27230769230769
0-6,84.7535294117647
0-7,80.14454545454547
0-8,76.31647058823529
0-9,83.17315789473683
1-0,82.54533333333332
