project;test file;mutants;killed;incompetent;timeout;survived;mutation score
hashmap;test_3-5_0-1_39;76;57;9;0;10;86.84
hashmap;test_3-5_0-7_240;76;57;9;0;10;86.84
hashmap;test_3-5_0-8_243;76;35;9;0;32;57.89
hashmap;test_3-5_0-9_282;76;32;9;0;35;53.95
hashmap;test_3-5_0-9_280;76;56;10;0;10;86.84
hashmap;test_3-5_0-4_129;76;35;12;0;29;61.84
hashmap;test_3-5_0-9_286;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_267;76;39;12;0;25;67.11
hashmap;test_3-5_0-6_189;76;60;10;0;6;92.11
hashmap;test_3-5_0-1_34;76;57;9;0;10;86.84
hashmap;test_3-5_0-6_190;76;39;9;0;28;63.16
hashmap;test_3-5_0-5_162;76;57;9;0;10;86.84
hashmap;test_3-5_0-2_65;76;57;9;0;10;86.84
hashmap;test_3-5_0-5_156;76;57;9;0;10;86.84
hashmap;test_3-5_0-6_194;76;39;9;0;28;63.16
hashmap;test_3-5_0-2_69;76;61;9;0;6;92.11
hashmap;test_3-5_0-2_72;76;57;9;0;10;86.84
hashmap;test_3-5_0-9_276;76;47;9;0;20;73.68
hashmap;test_3-5_0-0_19;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_245;76;35;12;0;29;61.84
hashmap;test_3-5_0-8_255;76;61;9;0;6;92.11
hashmap;test_3-5_0-8_246;76;61;9;0;6;92.11
hashmap;test_3-5_1-0_330;76;39;12;0;25;67.11
hashmap;test_3-5_0-0_2;76;57;9;0;10;86.84
hashmap;test_3-5_1-0_303;76;57;9;0;10;86.84
hashmap;test_3-5_0-8_247;76;57;9;0;10;86.84
hashmap;test_3-5_0-6_209;76;57;9;0;10;86.84
