Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,18,12,18,0,0
0-1,25,5,23,2,0
0-2,19,11,15,4,0
0-3,20,10,15,5,0
0-4,22,8,8,14,0
0-5,21,9,12,9,0
0-6,22,8,14,8,0
0-7,23,7,11,12,0
0-8,23,7,8,9,6
0-9,19,11,9,5,5
1-0,20,10,11,8,1
Total,232,98,144,76,12
