project;test file;line coverage;branch coverage
trie;test_3-5_0-9_283;0.00;100.00
trie;test_3-5_1-0_319;0.00;92.86
trie;test_3-5_0-7_223;0.00;100.00
trie;test_3-5_0-8_249;0.00;100.00
trie;test_3-5_1-0_307;0.00;100.00
trie;test_3-5_1-0_323;0.00;100.00
trie;test_3-5_0-7_231;0.00;92.86
trie;test_3-5_0-9_275;0.00;100.00
trie;test_3-5_0-6_205;0.00;100.00
trie;test_3-5_1-0_313;0.00;100.00
trie;test_3-5_0-9_289;0.00;100.00
trie;test_3-5_0-6_208;0.00;100.00
trie;test_3-5_0-5_158;0.00;100.00
trie;test_3-5_0-9_286;0.00;100.00
trie;test_3-5_1-0_330;0.00;100.00
trie;test_3-5_1-0_306;0.00;92.86
