project;test file;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
quicksort;test_3-5_0-5_151;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_108;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_112;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_305;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_238;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_107;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_193;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_168;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_285;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_167;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_81;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_8;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_125;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_269;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_307;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_54;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_152;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_260;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_94;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_103;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_229;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_142;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_160;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_215;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_186;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_96;60;52;0;52;8;86.67
quicksort;test_3-5_0-6_199;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_64;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_110;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_266;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_49;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_184;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_106;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_82;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_134;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_163;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_216;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_73;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_204;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_99;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_169;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_31;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_146;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_100;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_40;60;53;0;53;7;88.33
quicksort;test_3-5_0-8_258;60;52;0;52;8;86.67
quicksort;test_3-5_0-4_131;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_28;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_323;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_195;60;52;0;52;8;86.67
quicksort;test_3-5_0-8_265;60;52;0;52;8;86.67
quicksort;test_3-5_0-8_270;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_109;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_92;60;52;0;52;8;86.67
quicksort;test_3-5_0-4_126;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_33;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_188;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_231;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_25;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_53;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_9;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_1;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_113;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_170;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_29;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_182;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_161;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_311;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_239;60;52;0;52;8;86.67
quicksort;test_3-5_0-9_275;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_42;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_205;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_327;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_271;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_14;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_11;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_37;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_7;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_290;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_43;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_44;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_135;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_298;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_76;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_228;60;52;0;52;8;86.67
quicksort;test_3-5_0-8_256;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_147;60;52;0;52;8;86.67
quicksort;test_3-5_0-8_244;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_164;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_105;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_302;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_221;60;52;0;52;8;86.67
quicksort;test_3-5_0-1_41;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_157;60;52;0;52;8;86.67
quicksort;test_3-5_0-4_145;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_159;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_136;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_313;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_117;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_80;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_288;60;52;0;52;8;86.67
quicksort;test_3-5_0-2_61;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_218;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_140;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_12;60;53;0;53;7;88.33
quicksort;test_3-5_1-0_316;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_124;60;52;0;52;8;86.67
quicksort;test_3-5_0-3_93;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_18;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_26;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_60;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_58;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_75;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_97;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_30;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_89;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_128;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_289;60;52;0;52;8;86.67
quicksort;test_3-5_0-5_173;60;52;0;52;8;86.67
quicksort;test_3-5_0-7_237;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_52;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_278;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_191;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_51;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_208;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_32;60;53;0;53;7;88.33
quicksort;test_3-5_0-3_101;60;53;0;53;7;88.33
quicksort;test_3-5_0-6_192;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_138;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_68;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_155;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_13;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_158;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_47;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_39;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_214;60;53;0;53;7;88.33
quicksort;test_3-5_0-2_63;60;53;0;53;7;88.33
quicksort;test_3-5_0-0_27;60;53;0;53;7;88.33
quicksort;test_3-5_0-7_240;60;52;0;52;8;86.67
quicksort;test_3-5_0-0_6;60;53;0;53;7;88.33
quicksort;test_3-5_0-4_141;60;53;0;53;7;88.33
quicksort;test_3-5_0-1_59;60;53;0;53;7;88.33
quicksort;test_3-5_0-5_174;60;52;0;52;8;86.67
quicksort;test_3-5_0-2_88;60;53;0;53;7;88.33
quicksort;test_3-5_0-9_282;60;52;0;52;8;86.67
quicksort;test_3-5_0-4_132;60;53;0;53;7;88.33
