Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,30,0,30,0,0
0-1,30,0,30,0,0
0-2,30,0,30,0,0
0-3,28,2,28,0,0
0-4,26,4,26,0,0
0-5,26,4,26,0,0
0-6,27,3,27,0,0
0-7,27,3,27,0,0
0-8,24,6,24,0,0
0-9,26,4,26,0,0
1-0,25,5,25,0,0
Total,299,31,299,0,0
