Temperature,Average
0-0,74.0
0-1,73.0
0-2,72.625
0-3,72.29166666666667
0-4,73.0
0-5,73.96551724137932
0-6,71.07758620689656
0-7,72.5
0-8,74.27083333333333
0-9,70.56818181818181
1-0,64.86607142857143
