project;test file;mutants;killed;incompetent;timeout;survived;mutation score
bst1;test_3-5_0-5_178;71;52;9;2;8;88.73
bst1;test_3-5_0-9_284;71;52;9;2;8;88.73
bst1;test_3-5_0-9_273;71;47;9;2;13;81.69
bst1;test_3-5_0-7_222;71;48;9;1;13;81.69
bst1;test_3-5_0-5_172;71;52;9;2;8;88.73
bst1;test_3-5_0-7_227;71;52;9;2;8;88.73
bst1;test_3-5_1-0_305;71;52;9;2;8;88.73
bst1;test_3-5_0-8_260;71;48;9;1;13;81.69
bst1;test_3-5_0-5_169;71;52;9;2;8;88.73
bst1;test_3-5_0-9_275;71;49;9;1;12;83.10
bst1;test_3-5_0-6_208;71;52;9;2;8;88.73
bst1;test_3-5_0-8_241;71;52;9;2;8;88.73
bst1;test_3-5_0-8_245;71;53;9;2;7;90.14
