Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,7,23,6,1,0
0-1,7,23,7,0,0
0-2,5,25,5,0,0
0-3,7,23,7,0,0
0-4,8,22,8,0,0
0-5,14,16,12,2,0
0-6,9,21,9,0,0
0-7,5,25,2,1,2
0-8,10,20,9,1,0
0-9,5,25,4,1,0
1-0,9,21,5,3,1
Total,86,244,74,9,3
