Temperature,Average
0-0,100.0
0-1,99.49000000000001
0-2,99.73555555555556
0-3,99.23464285714284
0-4,99.50758620689655
0-5,99.50758620689656
0-6,99.47111111111111
0-7,100.0
0-8,98.49631578947367
0-9,97.82652173913043
1-0,96.42949999999998
