Temperature,Total Passed,Failed,Passed on First Try,Passed on One Retry,Passed on More Than One Retry
0-0,1,30,0,1,0
0-1,1,29,0,1,0
0-2,6,25,0,6,0
0-3,5,25,1,3,1
0-4,8,22,0,7,1
0-5,9,22,0,5,4
0-6,8,23,2,4,2
0-7,8,23,4,3,1
0-8,12,20,6,3,3
0-9,5,26,3,1,1
1-0,8,22,5,3,0
Total,71,267,21,37,13
